Date,Species,Site,Season
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,NOTVIR,EGLIN,2011
11/27/2011,BUFTER,EGLIN,2011
11/27/2011,PSEORN,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,GASCAR,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,LITUTR,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,NOTVIR,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/28/2011,AMBBIS,EGLIN,2011
11/28/2011,NOTVIR,EGLIN,2011
11/28/2011,AMBBIS,EGLIN,2011
11/28/2011,AMBBIS,EGLIN,2011
11/28/2011,AMBBIS,EGLIN,2011
11/28/2011,GASCAR,EGLIN,2011
11/28/2011,EURQUA,EGLIN,2011
11/28/2011,AMBBIS,EGLIN,2011
11/28/2011,AMBBIS,EGLIN,2011
11/28/2011,ACRGRY,EGLIN,2011
12/5/2011,ANOCAR,EGLIN,2011
12/5/2011,AGKPIS,EGLIN,2011
12/5/2011,NOTVIR,EGLIN,2011
12/5/2011,LITUTR,EGLIN,2011
12/5/2011,LITUTR,EGLIN,2011
12/5/2011,EURQUA,EGLIN,2011
12/5/2011,AMBBIS,EGLIN,2011
12/5/2011,EURQUA,EGLIN,2011
12/5/2011,LITUTR,EGLIN,2011
12/5/2011,BUFTER,EGLIN,2011
12/5/2011,NOTVIR,EGLIN,2011
12/5/2011,AMBBIS,EGLIN,2011
12/5/2011,AMBBIS,EGLIN,2011
12/5/2011,AMBBIS,EGLIN,2011
12/6/2011,AMBBIS,EGLIN,2011
12/6/2011,NOTVIR,EGLIN,2011
12/6/2011,NOTVIR,EGLIN,2011
12/6/2011,AMBBIS,EGLIN,2011
12/6/2011,AMBBIS,EGLIN,2011
12/6/2011,NOTVIR,EGLIN,2011
12/6/2011,AMBBIS,EGLIN,2011
12/6/2011,AMBBIS,EGLIN,2011
12/6/2011,GASCAR,EGLIN,2011
12/6/2011,LITUTR,EGLIN,2011
12/6/2011,AMBBIS,EGLIN,2011
12/6/2011,EURQUA,EGLIN,2011
12/6/2011,NOTVIR,EGLIN,2011
12/6/2011,EURQUA,EGLIN,2011
12/6/2011,NOTVIR,EGLIN,2011
12/6/2011,AGKPIS,EGLIN,2011
12/7/2011,EURQUA,EGLIN,2011
12/7/2011,AMBBIS,EGLIN,2011
12/7/2011,AMBBIS,EGLIN,2011
12/7/2011,NOTVIR,EGLIN,2011
12/7/2011,ACRGRY,EGLIN,2011
12/7/2011,PEROMYSCUS SP,EGLIN,2011
12/7/2011,NOTVIR,EGLIN,2011
12/7/2011,EURQUA,EGLIN,2011
12/10/2011,ANOCAR,EGLIN,2011
12/11/2011,EURQUA,EGLIN,2011
12/12/2011,NOTVIR,EGLIN,2011
12/13/2011,NOTVIR,EGLIN,2011
12/14/2011,NOTVIR,EGLIN,2011
12/15/2011,AMBBIS,EGLIN,2011
12/15/2011,ACRGRY,EGLIN,2011
12/15/2011,OPHVEN,EGLIN,2011
12/16/2011,SCILAT,EGLIN,2011
12/17/2011,NOTVIR,EGLIN,2011
12/20/2011,BUFTER,EGLIN,2011
12/20/2011,AMBBIS,EGLIN,2011
12/20/2011,ANOCAR,EGLIN,2011
12/20/2011,AMBBIS,EGLIN,2011
12/21/2011,NOTVIR,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,NOTVIR,EGLIN,2011
12/21/2011,NOTVIR,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AGKPIS,EGLIN,2011
12/21/2011,BUFTER,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/21/2011,NOTVIR,EGLIN,2011
12/21/2011,NOTVIR,EGLIN,2011
12/21/2011,NOTVIR,EGLIN,2011
12/21/2011,AMBBIS,EGLIN,2011
12/22/2011,NOTVIR,EGLIN,2011
12/22/2011,NOTVIR,EGLIN,2011
12/22/2011,NOTVIR,EGLIN,2011
12/22/2011,AMBBIS,EGLIN,2011
12/22/2011,NOTVIR,EGLIN,2011
12/22/2011,EURQUA,EGLIN,2011
12/22/2011,AMBBIS,EGLIN,2011
12/22/2011,ANOCAR,EGLIN,2011
12/22/2011,NOTVIR,EGLIN,2011
12/22/2011,AMBBIS,EGLIN,2011
12/22/2011,ACRGRY,EGLIN,2011
12/22/2011,NOTVIR,EGLIN,2011
12/22/2011,PSEORN,EGLIN,2011
12/22/2011,AMBBIS,EGLIN,2011
12/22/2011,ACRGRY,EGLIN,2011
12/22/2011,NOTVIR,EGLIN,2011
12/22/2011,AMBBIS,EGLIN,2011
12/23/2011,NOTVIR,EGLIN,2011
12/23/2011,AMBBIS,EGLIN,2011
12/23/2011,AMBBIS,EGLIN,2011
12/26/2011,NOTVIR,EGLIN,2011
12/26/2011,ACRGRY,EGLIN,2011
12/26/2011,NOTVIR,EGLIN,2011
12/26/2011,AMBBIS,EGLIN,2011
12/26/2011,AMBBIS,EGLIN,2011
12/26/2011,PSEORN,EGLIN,2011
12/26/2011,NOTVIR,EGLIN,2011
12/26/2011,AMBBIS,EGLIN,2011
12/26/2011,AMBBIS,EGLIN,2011
12/26/2011,THASAU,EGLIN,2011
12/26/2011,NOTVIR,EGLIN,2011
12/26/2011,PSEORN,EGLIN,2011
12/26/2011,NOTVIR,EGLIN,2011
12/27/2011,NOTVIR,EGLIN,2011
12/27/2011,AMBBIS,EGLIN,2011
12/27/2011,AMBBIS,EGLIN,2011
12/27/2011,AMBBIS,EGLIN,2011
12/27/2011,SCAHOL,EGLIN,2011
12/27/2011,EURQUA,EGLIN,2011
12/27/2011,NOTVIR,EGLIN,2011
12/27/2011,NOTVIR,EGLIN,2011
12/27/2011,PSEORN,EGLIN,2011
12/27/2011,AMBBIS,EGLIN,2011
12/27/2011,PSEORN,EGLIN,2011
12/27/2011,AMBBIS,EGLIN,2011
12/28/2011,PSEORN,EGLIN,2011
12/29/2011,NOTVIR,EGLIN,2011
12/30/2011,NOTVIR,EGLIN,2011
12/30/2011,NOTVIR,EGLIN,2011
12/30/2011,NOTVIR,EGLIN,2011
12/30/2011,PSEORN,EGLIN,2011
12/30/2011,NOTVIR,EGLIN,2011
12/30/2011,NOTVIR,EGLIN,2011
12/31/2011,AMBBIS,EGLIN,2011
12/31/2011,EURQUA,EGLIN,2011
1/1/2012,EURQUA,EGLIN,2011
1/1/2012,NOTVIR,EGLIN,2011
1/1/2012,NOTVIR,EGLIN,2011
1/1/2012,NOTVIR,EGLIN,2011
1/1/2012,ANOCAR,EGLIN,2011
1/1/2012,SCILAT,EGLIN,2011
1/5/2012,ASPSEX,EGLIN,2011
1/7/2012,SCILAT,EGLIN,2011
1/8/2012,NOTVIR,EGLIN,2011
1/9/2012,NOTVIR,EGLIN,2011
1/9/2012,PSEORN,EGLIN,2011
1/10/2012,NOTVIR,EGLIN,2011
1/10/2012,AMBBIS,EGLIN,2011
1/10/2012,AMBBIS,EGLIN,2011
1/10/2012,PSEORN,EGLIN,2011
1/10/2012,AMBBIS,EGLIN,2011
1/10/2012,PSEORN,EGLIN,2011
1/10/2012,AMBBIS,EGLIN,2011
1/10/2012,AMBBIS,EGLIN,2011
1/10/2012,NOTVIR,EGLIN,2011
1/10/2012,AMBBIS,EGLIN,2011
1/10/2012,NOTVIR,EGLIN,2011
1/10/2012,NOTVIR,EGLIN,2011
1/10/2012,NOTVIR,EGLIN,2011
1/11/2012,PSEORN,EGLIN,2011
1/11/2012,ACRGRY,EGLIN,2011
1/11/2012,NOTVIR,EGLIN,2011
1/11/2012,LITUTR,EGLIN,2011
1/11/2012,LITUTR,EGLIN,2011
1/11/2012,AMBBIS,EGLIN,2011
1/11/2012,EURQUA,EGLIN,2011
1/11/2012,ACRGRY,EGLIN,2011
1/11/2012,PSEORN,EGLIN,2011
1/11/2012,PSEORN,EGLIN,2011
1/11/2012,AMBBIS,EGLIN,2011
1/11/2012,NOTVIR,EGLIN,2011
1/16/2012,PSEORN,EGLIN,2011
1/17/2012,NOTVIR,EGLIN,2011
1/18/2012,LITUTR,EGLIN,2011
1/18/2012,NOTVIR,EGLIN,2011
1/18/2012,EURQUA,EGLIN,2011
1/18/2012,EURQUA,EGLIN,2011
1/20/2012,AIMAES,EGLIN,2011
1/20/2012,NOTVIR,EGLIN,2011
1/21/2012,AMBBIS,EGLIN,2011
1/21/2012,SCAHOL,EGLIN,2011
1/21/2012,KINSUB,EGLIN,2011
1/23/2012,NOTVIR,EGLIN,2011
1/23/2012,NOTVIR,EGLIN,2011
1/23/2012,ELAGUT,EGLIN,2011
1/23/2012,NOTVIR,EGLIN,2011
1/23/2012,PSEORN,EGLIN,2011
1/23/2012,AMBBIS,EGLIN,2011
1/23/2012,BUFTER,EGLIN,2011
1/23/2012,GASCAR,EGLIN,2011
1/24/2012,NOTVIR,EGLIN,2011
1/24/2012,AMBBIS,EGLIN,2011
1/24/2012,AMBBIS,EGLIN,2011
1/24/2012,PSEORN,EGLIN,2011
1/24/2012,NOTVIR,EGLIN,2011
1/24/2012,AMBBIS,EGLIN,2011
1/25/2012,GASCAR,EGLIN,2011
1/25/2012,DIAPUN,EGLIN,2011
1/26/2012,PSEORN,EGLIN,2011
1/26/2012,LITUTR,EGLIN,2011
1/26/2012,PSEORN,EGLIN,2011
1/26/2012,LITUTR,EGLIN,2011
1/26/2012,NOTVIR,EGLIN,2011
1/26/2012,AMBBIS,EGLIN,2011
1/26/2012,NOTVIR,EGLIN,2011
1/26/2012,GASCAR,EGLIN,2011
1/26/2012,NOTVIR,EGLIN,2011
1/27/2012,NOTVIR,EGLIN,2011
1/27/2012,NOTVIR,EGLIN,2011
1/27/2012,AMBBIS,EGLIN,2011
1/27/2012,AMBBIS,EGLIN,2011
1/27/2012,AMBBIS,EGLIN,2011
1/27/2012,AMBBIS,EGLIN,2011
1/27/2012,EURQUA,EGLIN,2011
1/27/2012,ACRGRY,EGLIN,2011
1/28/2012,ANOCAR,EGLIN,2011
1/31/2012,EURQUA,EGLIN,2011
2/1/2012,BUFTER,EGLIN,2011
2/1/2012,EURQUA,EGLIN,2011
2/1/2012,BUFTER,EGLIN,2011
2/1/2012,GASCAR,EGLIN,2011
2/1/2012,GASCAR,EGLIN,2011
2/1/2012,PSEORN,EGLIN,2011
2/1/2012,PSEORN,EGLIN,2011
2/1/2012,AMBBIS,EGLIN,2011
2/1/2012,EURQUA,EGLIN,2011
2/1/2012,NOTVIR,EGLIN,2011
2/1/2012,BUFTER,EGLIN,2011
2/2/2012,GASCAR,EGLIN,2011
2/2/2012,NOTVIR,EGLIN,2011
2/2/2012,NOTVIR,EGLIN,2011
2/2/2012,PSEORN,EGLIN,2011
2/2/2012,NOTVIR,EGLIN,2011
2/2/2012,NOTVIR,EGLIN,2011
2/2/2012,EURQUA,EGLIN,2011
2/2/2012,NOTVIR,EGLIN,2011
2/2/2012,EURQUA,EGLIN,2011
2/2/2012,LITUTR,EGLIN,2011
2/2/2012,KINSUB,EGLIN,2011
2/2/2012,NOTVIR,EGLIN,2011
2/2/2012,ANOCAR,EGLIN,2011
2/2/2012,LITUTR,EGLIN,2011
2/2/2012,ELAGUT,EGLIN,2011
2/2/2012,GASCAR,EGLIN,2011
2/3/2012,NOTVIR,EGLIN,2011
2/3/2012,NOTVIR,EGLIN,2011
2/3/2012,BUFTER,EGLIN,2011
2/4/2012,PSEORN,EGLIN,2011
2/4/2012,LITUTR,EGLIN,2011
2/6/2012,HYLFEM,EGLIN,2011
2/7/2012,NOTVIR,EGLIN,2011
2/9/2012,COLCON,EGLIN,2011
2/10/2012,BUFTER,EGLIN,2011
2/11/2012,PERGOS,EGLIN,2011
2/14/2012,ACRGRY,EGLIN,2011
2/14/2012,ACRGRY,EGLIN,2011
2/14/2012,ACRGRY,EGLIN,2011
2/14/2012,NOTVIR,EGLIN,2011
2/15/2012,EURQUA,EGLIN,2011
2/15/2012,NOTVIR,EGLIN,2011
2/16/2012,ANOCAR,EGLIN,2011
2/16/2012,PSEORN,EGLIN,2011
2/16/2012,KINSUB,EGLIN,2011
2/16/2012,EURQUA,EGLIN,2011
2/16/2012,NOTVIR,EGLIN,2011
2/17/2012,EURQUA,EGLIN,2011
2/17/2012,GASCAR,EGLIN,2011
2/17/2012,LITUTR,EGLIN,2011
2/17/2012,NOTVIR,EGLIN,2011
2/18/2012,EURQUA,EGLIN,2011
2/18/2012,SCAHOL,EGLIN,2011
2/18/2012,EURQUA,EGLIN,2011
2/18/2012,PSEORN,EGLIN,2011
2/18/2012,PSEORN,EGLIN,2011
2/18/2012,SCAHOL,EGLIN,2011
2/18/2012,KINSUB,EGLIN,2011
2/18/2012,PSEORN,EGLIN,2011
2/18/2012,BUFTER,EGLIN,2011
2/18/2012,AMBBIS,EGLIN,2011
2/18/2012,LITUTR,EGLIN,2011
2/18/2012,SCAHOL,EGLIN,2011
2/18/2012,LITUTR,EGLIN,2011
2/18/2012,NOTVIR,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,GASCAR,EGLIN,2011
2/19/2012,LITUTR,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,GASCAR,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,GASCAR,EGLIN,2011
2/19/2012,AMBBIS,EGLIN,2011
2/19/2012,GASCAR,EGLIN,2011
2/19/2012,LITUTR,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,NOTVIR,EGLIN,2011
2/19/2012,NOTVIR,EGLIN,2011
2/19/2012,GASCAR,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,LITUTR,EGLIN,2011
2/19/2012,NOTVIR,EGLIN,2011
2/19/2012,GASCAR,EGLIN,2011
2/19/2012,NOTVIR,EGLIN,2011
2/19/2012,NOTVIR,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,AMBBIS,EGLIN,2011
2/19/2012,AMBBIS,EGLIN,2011
2/19/2012,AMBBIS,EGLIN,2011
2/19/2012,AMBBIS,EGLIN,2011
2/19/2012,NOTVIR,EGLIN,2011
2/19/2012,LITUTR,EGLIN,2011
2/19/2012,SCAHOL,EGLIN,2011
2/19/2012,PSEORN,EGLIN,2011
2/19/2012,ACRGRY,EGLIN,2011
2/19/2012,KINSUB,EGLIN,2011
2/19/2012,AMBBIS,EGLIN,2011
2/19/2012,THASAU,EGLIN,2011
2/20/2012,COLCON,EGLIN,2011
2/22/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,SIGHIS,EGLIN,2011
2/23/2012,GASCAR,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,SIGHIS,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/23/2012,BUFTER,EGLIN,2011
2/24/2012,BUFTER,EGLIN,2011
2/24/2012,BUFTER,EGLIN,2011
2/24/2012,BUFTER,EGLIN,2011
2/24/2012,PSEORN,EGLIN,2011
2/24/2012,SCAHOL,EGLIN,2011
2/24/2012,BUFTER,EGLIN,2011
2/24/2012,NERFAS,EGLIN,2011
2/26/2012,LITUTR,EGLIN,2011
2/26/2012,EURQUA,EGLIN,2011
2/26/2012,BUFTER,EGLIN,2011
2/27/2012,AMBBIS,EGLIN,2011
2/27/2012,BUFTER,EGLIN,2011
2/27/2012,BUFTER,EGLIN,2011
2/27/2012,SCAHOL,EGLIN,2011
2/27/2012,BUFTER,EGLIN,2011
2/27/2012,BUFTER,EGLIN,2011
2/27/2012,PSEORN,EGLIN,2011
2/27/2012,BUFTER,EGLIN,2011
2/27/2012,BUFTER,EGLIN,2011
2/28/2012,ACRGRY,EGLIN,2011
2/28/2012,AMBBIS,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,GASCAR,EGLIN,2011
2/28/2012,SCAHOL,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,LITUTR,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,SCAHOL,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,AMBBIS,EGLIN,2011
2/28/2012,SCAHOL,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,BUFTER,EGLIN,2011
2/28/2012,GASCAR,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
2/29/2012,AMBBIS,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
2/29/2012,AMBBIS,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,VIRVAL,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,KINSUB,EGLIN,2011
2/29/2012,SCAHOL,EGLIN,2011
2/29/2012,BUFTER,EGLIN,2011
2/29/2012,GASCAR,EGLIN,2011
3/1/2012,SCAHOL,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,LITUTR,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,SCAHOL,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,SCAHOL,EGLIN,2011
3/1/2012,GASCAR,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,SCILAT,EGLIN,2011
3/1/2012,SCAHOL,EGLIN,2011
3/1/2012,GASCAR,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,GASCAR,EGLIN,2011
3/1/2012,LITUTR,EGLIN,2011
3/1/2012,BUFQUE,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,GASCAR,EGLIN,2011
3/1/2012,GASCAR,EGLIN,2011
3/1/2012,GASCAR,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,GASCAR,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/1/2012,KINSUB,EGLIN,2011
3/1/2012,ANOCAR,EGLIN,2011
3/1/2012,BUFTER,EGLIN,2011
3/2/2012,BUFTER,EGLIN,2011
3/2/2012,SCILAT,EGLIN,2011
3/2/2012,SCILAT,EGLIN,2011
3/2/2012,SCAHOL,EGLIN,2011
3/2/2012,BUFTER,EGLIN,2011
3/2/2012,BUFTER,EGLIN,2011
